date;name;isin;invested_captial;equity;cash
2017-04-01;nachhaltig-globales-dividenden-wachstum;DE000LS9AZR6; 5525.90 ;0.78;0.22
2017-04-01;evergrow;DE000LS9ECF2; 5513.58 ;0.98;0.02
2017-04-01;wonderful-companys-strategie;DE000LS9KZ02; 5433.34 ;0.95;0.05
2017-04-01;aktie-produkt-begehrenswert;DE000LS9J2X3; 5409.32 ;1.0;-0.0
2017-04-01;top-10-global-brands;DE000LS9FQF9; 5318.70 ;0.99;0.01
2017-04-01;innovationen-und-megatrends;DE000LS9EWV7; 5237.89 ;0.98;0.02
2017-04-01;videospiele;DE000LS9KTE6; 5221.78 ;1.0;0.0
2017-04-01;value-liquiditaet;DE000LS9FBW6; 5195.88 ;0.89;0.11
2017-04-01;wgl-int;DE000LS9K5L8; 5106.19 ;1.0;-0.0
2017-04-01;aktienwerte-abonkow;DE000LS9JMX3; 4990.30 ;0.36;0.64
2017-04-01;3d-drucker-best-of;DE000LS9CHT6; 4963.99 ;1.03;-0.03
2017-04-01;shareradar-global-gaming;DE000LS9BYY3; 4806.54 ;0.69;0.31
2017-04-01;internet-der-dinge-iot;DE000LS9GKA1; 4629.47 ;0.98;0.02
2017-04-01;internet-spekulativ;DE000LS9AUK2; 4313.38 ;0.99;0.01
2017-04-01;fundamental-one;DE000LS9GLD3; 3671.89 ;1.01;-0.01
2017-04-01;internet-wiki;DE000LS9DAR3; 3638.32 ;1.0;0.0
2017-04-01;big-data-fintech-profiteure;DE000LS9JND3; 3618.45 ;1.01;-0.01
2017-04-01;value-investing-only;DE000LS9GLF8; 3424.00 ;0.89;0.11
2017-04-01;7-suenden;DE000LS9ASK6; 3155.53 ;0.97;0.03
2017-04-08;umbrella;DE000LS9AVX3; 2574902.84 ;1.0;0.0
2017-04-08;boerse-online-silicon-valley;DE000LS9HRZ1; 526388.35 ;1.0;0.0
2017-04-08;etf-werte-des-icax;DE000LS9AJV2; 503816.73 ;0.83;0.17
2017-04-08;augmented-und-virtual-reality;DE000LS9EEQ5; 461918.50 ;1.0;0.0
2017-04-08;nolimits;DE000LS9BFD6; 291986.77 ;1.0;0.0
2017-04-08;succestecbrands;DE000LS9CWS7; 275455.49 ;0.95;0.05
2017-04-08;rogo-us-value;DE000LS9CFM5; 208197.76 ;1.0;-0.01
2017-04-08;dogs-of-the-dow-low-five;DE000LS9CEP1; 207722.16 ;1.0;-0.0
2017-04-08;top-10-goldminen;DE000LS9GTM7; 205319.44 ;0.98;0.02
2017-04-08;futecus;DE000LS9AUL0; 204129.13 ;0.98;0.02
2017-04-08;trendfolge-aktien-lehne;DE000LS9FDY8; 128291.35 ;0.86;0.14
2017-04-08;sicherheit-und-ruestung;DE000LS9KBZ9; 90075.24 ;0.96;0.04
2017-04-08;ant1-frag-hps-worldwide;DE000LS9BEH0; 87017.10 ;0.38;0.62
2017-04-08;usa-top-10;DE000LS9BEG2; 80758.66 ;1.01;-0.01
2017-04-08;high-tech-stock-picking;DE000LS9J0L2; 63050.72 ;0.67;0.33
2017-04-08;top-innovation-tech-star;DE000LS9JEL5; 51576.33 ;1.01;-0.01
2017-04-08;wall-street-trends;DE000LS9J8J9; 50285.65 ;1.0;0.0
2017-04-08;markowitz-chancen;DE000LS9GNG2; 46753.72 ;1.0;0.0
2017-04-08;die-top-aktien-aus-amerika;DE000LS9FFL0; 45809.44 ;1.0;0.0
2017-04-08;online-marketing-rockstars;DE000LS9DJH5; 43621.92 ;1.0;0.0
2017-04-08;global-champions;DE000LS9JLH8; 43504.30 ;1.0;-0.0
2017-04-08;valuesurfing;DE000LS9JR96; 42551.67 ;0.92;0.08
2017-04-08;daswir;DE000LS9KUM7; 40443.24 ;1.0;0.0
2017-04-08;value-investing;DE000LS9CNE6; 36383.61 ;1.0;0.0
2017-04-08;gold-und-silber-majors;DE000LS9BMB6; 36180.25 ;0.97;0.03
2017-04-08;langfrist-investor;DE000LS9HKV5; 35697.13 ;0.85;0.15
2017-04-08;top-us-upside-star;DE000LS9JDZ7; 35636.20 ;1.01;-0.01
2017-04-08;aesthetische-medizin;DE000LS9EFK5; 35553.89 ;0.64;0.36
2017-04-08;zukunftstrends;DE000LS9HGY7; 33814.39 ;0.86;0.14
2017-04-08;mpinvest-globale-trends;DE000LS9BDD1; 33315.93 ;0.77;0.23
2017-04-08;next-generation;DE000LS9BAU1; 29675.39 ;0.99;0.01
2017-04-08;werte-durch-aktienrueckkaeufe;DE000LS9BJC0; 28983.71 ;0.78;0.22
2017-04-08;roboter-kuenstliche-intelligenz;DE000LS9KF55; 27232.84 ;1.0;-0.01
2017-04-08;value-positive-future;DE000LS9GJG0; 23601.95 ;0.94;0.06
2017-04-08;entspannt-investieren;DE000LS9DKX0; 21771.34 ;0.14;0.86
2017-04-08;worldcap-global-opportunities;DE000LS9GDM1; 21423.79 ;0.35;0.65
2017-04-08;small-dogs-usa-5;DE000LS9AJS8; 21169.89 ;1.0;-0.0
2017-04-08;fang-und-co;DE000LS9KNM2; 18993.64 ;0.93;0.07
2017-04-08;ruestungskonzerne-weltweit;DE000LS9EZY4; 17632.78 ;1.03;-0.03
2017-04-08;ueberverkaufte-aktienwerte;DE000LS9J826; 16791.83 ;1.0;0.0
2017-04-08;divident-value;DE000LS9ECH8; 16417.37 ;1.03;-0.03
2017-04-08;new-world;DE000LS9GQK7; 16109.70 ;1.0;0.0
2017-04-08;selected-life-sciences;DE000LS9ADD3; 15501.85 ;0.3;0.7
2017-04-08;zukunft-technologie-automobil;DE000LS9J024; 15441.41 ;1.03;-0.03
2017-04-08;amb-global-value-pearls;DE000LS9HGV3; 14614.69 ;0.54;0.46
2017-04-08;geduld-ist-die-pforte-der-freude;DE000LS9EGU2; 14460.93 ;0.99;0.01
2017-04-08;quantitativ-usa-l-m-caps;DE000LS9CKP8; 13294.57 ;1.0;0.0
2017-04-08;greenblatt-value-investing;DE000LS9DCT5; 12788.17 ;1.01;-0.01
2017-04-08;gs-turnover-strategy;DE000LS9DYP7; 12710.80 ;0.98;0.02
2017-04-08;hohe-dividenden-pipeline-usa-mlp;DE000LS9KB00; 11752.36 ;1.0;0.0
2017-04-08;drf-internationale-aktien;DE000LS9AXA7; 10946.93 ;0.91;0.09
2017-04-08;daten-das-oel-des-21-jhd;DE000LS9JSJ9; 10784.92 ;1.0;0.0
2017-04-08;dividend-aristocrats-s-p-werte;DE000LS9DCR9; 10618.43 ;0.99;0.01
2017-04-08;trendsignaleusa;DE000LS9KKC9; 10503.90 ;0.92;0.08
2017-04-08;algo-trading;DE000LS9ETC3; 10353.87 ;0.99;0.01
2017-04-08;mpinvest-dividenden-trends;DE000LS9AZA2; 10112.80 ;1.0;0.0
2017-04-08;aktien-internet-e-commerce;DE000LS9BLW4; 9418.17 ;0.58;0.41
2017-04-08;weltweite-spezialitaeten;DE000LS9AYV1; 9315.76 ;1.0;-0.0
2017-04-08;usdivgrowth;DE000LS9AZK1; 9225.99 ;0.99;0.01
2017-04-08;disruptive-innovation-balanced;DE000LS9JCE4; 9064.76 ;0.47;0.53
2017-04-08;quantenstein-junior;DE000LS9H440; 8794.26 ;0.99;0.01
2017-04-08;big-dogs-usa-10;DE000LS9AJR0; 8578.64 ;1.0;-0.01
2017-04-08;plainalpha-u-s-target-income;DE000LS9HLQ3; 8214.74 ;0.94;0.06
2017-04-08;kgv-als-indikator;DE000LS9CMS8; 8147.20 ;0.85;0.15
2017-04-08;it-security;DE000LS9GKL8; 7889.62 ;0.83;0.17
2017-04-08;halbleiter-technologien;DE000LS9KQN3; 7859.75 ;1.0;-0.0
2017-04-08;s-p500-werte-dividendenstrategie;DE000LS9DCM0; 7769.30 ;0.99;0.01
2017-04-08;world-wide-value;DE000LS9K4D8; 7229.05 ;0.54;0.46
2017-04-08;divergent-trading;DE000LS9H8B8; 7020.21 ;0.94;0.06
2017-04-08;aggressive-technology;DE000LS9BJU2; 6555.27 ;0.8;0.2
2017-04-08;gute-kennzahlen-mit-robo-auswahl;DE000LS9KP79; 6533.16 ;0.94;0.06
2017-04-08;strategie-nach-levermann-us;DE000LS9KMV5; 6528.66 ;1.0;0.0
2017-04-08;100-champions;DE000LS9KBL9; 6463.09 ;0.66;0.34
2017-04-08;3d-printing;DE000LS9ETT7; 6366.36 ;1.04;-0.04
2017-04-08;performa-100;DE000LS9GFK0; 6134.69 ;1.02;-0.02
2017-04-08;investieren-wie-warren-buffett;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;trendfolge-trading-simplified;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;transformation-automotive;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;evergrow;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;nachhaltig-globales-dividenden-wachstum;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;gelassenlangfristig;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;bio-health-tech-trading;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;wonderful-companys-strategie;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;sinful-investment;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;aktie-produkt-begehrenswert;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;cloud-stars-international;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;top-10-global-brands;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;innovationen-und-megatrends;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;value-liquiditaet;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;videospiele;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;wgl-int;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;aktienwerte-abonkow;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;3d-drucker-best-of;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;szew-turnaround;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;shareradar-global-gaming;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;internet-der-dinge-iot;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;internet-spekulativ;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;industrie-4-0-global;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;jaytrader;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;fundamental-one;DE000LS9CXM8; 6039.01 ;0.9;0.1
2017-04-08;internet-wiki;DE000LS9CXM8; 6039.01 ;0.9;0.1
